carnet,nombre,carrera,departamento,promedio
EST000034,Estudiante 34,Ingeniería Industrial,Sonsonate,5.36
EST000035,Estudiante 35,Arquitectura,Sonsonate,9.24
EST000036,Estudiante 36,Administracion,La Libertad,5.53
EST000037,Estudiante 37,Arquitectura,La Libertad,5.83
EST000038,Estudiante 38,Administracion,La Libertad,7.12
EST000039,Estudiante 39,Arquitectura,Santa Ana,8.84
EST000040,Estudiante 40,Administracion,La Libertad,5.34
EST000041,Estudiante 41,Administracion,La Libertad,7.46
EST000042,Estudiante 42,Arquitectura,Santa Ana,7.49
EST000043,Estudiante 43,Administracion,Sonsonate,8.83
EST000044,Estudiante 44,Ingeniería de Sistemas,La Libertad,9.68
EST000045,Estudiante 45,Ingeniería de Sistemas,Santa Ana,9.41
EST000046,Estudiante 46,Arquitectura,La Libertad,9.14
EST000047,Estudiante 47,Arquitectura,Santa Ana,5.74
EST000048,Estudiante 48,Ingeniería Industrial,San Miguel,5.83
EST000049,Estudiante 49,Ingeniería de Sistemas,Santa Ana,8.32
EST000050,Estudiante 50,Ingeniería Industrial,San Miguel,8.5
EST000051,Estudiante 51,Arquitectura,San Salvador,6.8
EST000052,Estudiante 52,Arquitectura,San Salvador,6.62
EST000053,Estudiante 53,Arquitectura,Sonsonate,5.35
EST000054,Estudiante 54,Ingeniería de Sistemas,Santa Ana,6.11
EST000055,Estudiante 55,Arquitectura,San Miguel,5.22
EST000056,Estudiante 56,Arquitectura,Santa Ana,9.49
EST000057,Estudiante 57,Contaduria,Sonsonate,7.86
EST000058,Estudiante 58,Ingeniería de Sistemas,San Miguel,6.74
EST000059,Estudiante 59,Arquitectura,Sonsonate,6.62
EST000060,Estudiante 60,Arquitectura,Sonsonate,8.39
EST000061,Estudiante 61,Arquitectura,San Miguel,9.97
EST000062,Estudiante 62,Ingeniería Industrial,San Salvador,8.87
EST000063,Estudiante 63,Administracion,La Libertad,5.93
EST000064,Estudiante 64,Contaduria,Santa Ana,7.63
EST000065,Estudiante 65,Ingeniería de Sistemas,Santa Ana,5.06
EST000066,Estudiante 66,Arquitectura,San Miguel,5.47
EST000067,Estudiante 67,Arquitectura,Sonsonate,8.98
EST000068,Estudiante 68,Ingeniería Industrial,San Miguel,5.27
EST000069,Estudiante 69,Contaduria,San Miguel,9.67
EST000070,Estudiante 70,Ingeniería de Sistemas,Santa Ana,8.68
EST000071,Estudiante 71,Administracion,San Miguel,5.71
EST000072,Estudiante 72,Contaduria,San Miguel,5.73
EST000073,Estudiante 73,Administracion,Santa Ana,7.1
EST000074,Estudiante 74,Arquitectura,San Miguel,7.4
EST000075,Estudiante 75,Administracion,San Miguel,5.78
EST000076,Estudiante 76,Ingeniería Industrial,Santa Ana,7.11
EST000077,Estudiante 77,Ingeniería de Sistemas,Santa Ana,8.89
EST000078,Estudiante 78,Administracion,La Libertad,6.67
EST000079,Estudiante 79,Administracion,Santa Ana,8.44
EST000080,Estudiante 80,Ingeniería de Sistemas,San Salvador,9.85
EST000081,Estudiante 81,Arquitectura,San Miguel,9.73
EST000082,Estudiante 82,Contaduria,La Libertad,5.31
EST000083,Estudiante 83,Arquitectura,Sonsonate,6.62
EST000084,Estudiante 84,Administracion,San Miguel,8.03
EST000085,Estudiante 85,Ingeniería de Sistemas,San Miguel,9.6
EST000086,Estudiante 86,Ingeniería Industrial,San Miguel,9.46
EST000087,Estudiante 87,Ingeniería Industrial,Santa Ana,5.49
EST000088,Estudiante 88,Contaduria,Santa Ana,5.21
EST000089,Estudiante 89,Arquitectura,San Salvador,6.04
EST000090,Estudiante 90,Ingeniería Industrial,San Salvador,7.64
EST000091,Estudiante 91,Arquitectura,San Miguel,7.63
EST000092,Estudiante 92,Administracion,San Salvador,9.4
EST000093,Estudiante 93,Contaduria,La Libertad,6.38
EST000094,Estudiante 94,Contaduria,Santa Ana,9.43
EST000095,Estudiante 95,Contaduria,Santa Ana,7.78
EST000096,Estudiante 96,Contaduria,San Salvador,8.93
EST000097,Estudiante 97,Administracion,Santa Ana,8.45
EST000098,Estudiante 98,Arquitectura,San Miguel,6.01
EST000099,Estudiante 99,Administracion,San Miguel,5.77
EST000100,Estudiante 100,Ingeniería Industrial,Santa Ana,9.94
EST000101,Estudiante 101,Administracion,San Salvador,7.53
EST000102,Estudiante 102,Ingeniería Industrial,Santa Ana,7.12
EST000103,Estudiante 103,Ingeniería Industrial,San Salvador,9.43
EST000104,Estudiante 104,Administracion,Sonsonate,9.86
EST000105,Estudiante 105,Arquitectura,La Libertad,5.68
EST000106,Estudiante 106,Ingeniería de Sistemas,La Libertad,10.0
EST000107,Estudiante 107,Contaduria,Sonsonate,7.95
EST000108,Estudiante 108,Administracion,San Miguel,6.37
EST000109,Estudiante 109,Ingeniería de Sistemas,La Libertad,7.17
EST000110,Estudiante 110,Ingeniería de Sistemas,La Libertad,8.99
EST000111,Estudiante 111,Administracion,Santa Ana,6.84
EST000112,Estudiante 112,Administracion,San Salvador,6.01
EST000113,Estudiante 113,Ingeniería de Sistemas,La Libertad,9.7
EST000114,Estudiante 114,Ingeniería de Sistemas,San Miguel,6.85
EST000115,Estudiante 115,Administracion,San Salvador,8.56
EST000116,Estudiante 116,Arquitectura,San Miguel,8.34
EST000117,Estudiante 117,Ingeniería Industrial,San Miguel,8.74
EST000118,Estudiante 118,Administracion,Sonsonate,6.0
EST000119,Estudiante 119,Contaduria,La Libertad,6.2
EST000120,Estudiante 120,Ingeniería Industrial,San Salvador,9.33
EST000121,Estudiante 121,Arquitectura,Santa Ana,9.25
EST000122,Estudiante 122,Administracion,San Salvador,9.92
EST000123,Estudiante 123,Ingeniería Industrial,La Libertad,7.37
EST000124,Estudiante 124,Contaduria,San Miguel,7.04
EST000125,Estudiante 125,Arquitectura,Santa Ana,5.47
EST000126,Estudiante 126,Contaduria,Santa Ana,6.95
EST000127,Estudiante 127,Administracion,San Miguel,8.85
EST000128,Estudiante 128,Arquitectura,San Miguel,5.94
EST000129,Estudiante 129,Administracion,Sonsonate,8.2
EST000130,Estudiante 130,Arquitectura,Sonsonate,5.55
EST000131,Estudiante 131,Administracion,La Libertad,6.27
EST000132,Estudiante 132,Contaduria,La Libertad,7.61
EST000133,Estudiante 133,Arquitectura,La Libertad,5.0
EST000134,Estudiante 134,Contaduria,San Salvador,9.45
EST000135,Estudiante 135,Ingeniería de Sistemas,San Miguel,9.37
EST000136,Estudiante 136,Ingeniería de Sistemas,San Miguel,7.34
EST000137,Estudiante 137,Arquitectura,Santa Ana,5.54
EST000138,Estudiante 138,Ingeniería de Sistemas,San Miguel,8.67
EST000139,Estudiante 139,Ingeniería de Sistemas,La Libertad,8.23
EST000140,Estudiante 140,Ingeniería Industrial,San Miguel,5.63
EST000141,Estudiante 141,Ingeniería Industrial,San Miguel,8.97
EST000142,Estudiante 142,Ingeniería Industrial,San Miguel,5.4
EST000143,Estudiante 143,Ingeniería Industrial,San Salvador,5.11
EST000144,Estudiante 144,Contaduria,San Salvador,6.09
EST000145,Estudiante 145,Contaduria,Sonsonate,9.79
EST000146,Estudiante 146,Ingeniería Industrial,Santa Ana,7.56
EST000147,Estudiante 147,Arquitectura,San Salvador,5.75
EST000148,Estudiante 148,Ingeniería Industrial,San Salvador,7.5
EST000149,Estudiante 149,Administracion,Santa Ana,8.83
EST000150,Estudiante 150,Contaduria,Sonsonate,8.13
EST000151,Estudiante 151,Administracion,San Salvador,8.15
EST000152,Estudiante 152,Ingeniería de Sistemas,Sonsonate,9.98
EST000153,Estudiante 153,Arquitectura,Santa Ana,6.71
EST000154,Estudiante 154,Ingeniería de Sistemas,Santa Ana,9.88
EST000155,Estudiante 155,Administracion,San Salvador,8.78
EST000156,Estudiante 156,Ingeniería de Sistemas,San Miguel,6.25
EST000157,Estudiante 157,Ingeniería de Sistemas,Santa Ana,9.07
EST000158,Estudiante 158,Arquitectura,Sonsonate,9.31
EST000159,Estudiante 159,Ingeniería de Sistemas,La Libertad,8.7
EST000160,Estudiante 160,Arquitectura,Sonsonate,9.49
EST000161,Estudiante 161,Administracion,Santa Ana,5.42
EST000162,Estudiante 162,Ingeniería Industrial,La Libertad,7.29
EST000163,Estudiante 163,Contaduria,San Miguel,5.9
EST000164,Estudiante 164,Ingeniería Industrial,Santa Ana,7.67
EST000165,Estudiante 165,Arquitectura,Santa Ana,9.49
EST000166,Estudiante 166,Ingeniería Industrial,Sonsonate,6.56
EST000167,Estudiante 167,Administracion,San Miguel,7.7
EST000168,Estudiante 168,Ingeniería de Sistemas,San Salvador,8.73
EST000169,Estudiante 169,Administracion,La Libertad,5.52
EST000170,Estudiante 170,Administracion,Sonsonate,8.25
EST000171,Estudiante 171,Contaduria,San Miguel,6.99
EST000172,Estudiante 172,Arquitectura,Sonsonate,9.11
EST000173,Estudiante 173,Ingeniería Industrial,San Salvador,6.19
EST000174,Estudiante 174,Arquitectura,San Miguel,5.63
EST000175,Estudiante 175,Arquitectura,San Miguel,5.13
EST000176,Estudiante 176,Arquitectura,San Miguel,9.9
EST000177,Estudiante 177,Ingeniería de Sistemas,Santa Ana,5.08
EST000178,Estudiante 178,Arquitectura,Santa Ana,5.33
EST000179,Estudiante 179,Ingeniería Industrial,La Libertad,5.51
EST000180,Estudiante 180,Contaduria,San Salvador,9.99
EST000181,Estudiante 181,Administracion,Santa Ana,9.84
EST000182,Estudiante 182,Ingeniería de Sistemas,Santa Ana,6.4
EST000183,Estudiante 183,Ingeniería Industrial,Santa Ana,5.82
EST000184,Estudiante 184,Arquitectura,San Salvador,6.49
EST000185,Estudiante 185,Ingeniería de Sistemas,Sonsonate,6.64
EST000186,Estudiante 186,Administracion,Santa Ana,9.53
EST000187,Estudiante 187,Ingeniería Industrial,San Salvador,6.95
EST000188,Estudiante 188,Ingeniería de Sistemas,La Libertad,7.69
EST000189,Estudiante 189,Administracion,La Libertad,6.76
EST000190,Estudiante 190,Contaduria,San Miguel,9.14
EST000191,Estudiante 191,Ingeniería de Sistemas,Sonsonate,9.21
EST000192,Estudiante 192,Arquitectura,La Libertad,7.37
EST000193,Estudiante 193,Ingeniería de Sistemas,Sonsonate,9.35
EST000194,Estudiante 194,Ingeniería Industrial,San Salvador,5.47
EST000195,Estudiante 195,Arquitectura,San Salvador,9.8
EST000196,Estudiante 196,Ingeniería de Sistemas,La Libertad,9.61
EST000197,Estudiante 197,Arquitectura,La Libertad,7.48
EST000198,Estudiante 198,Ingeniería de Sistemas,San Salvador,6.6
EST000199,Estudiante 199,Ingeniería Industrial,San Salvador,6.18
EST000200,Estudiante 200,Ingeniería Industrial,La Libertad,8.17
EST000201,Estudiante 201,Arquitectura,Santa Ana,9.07
EST000202,Estudiante 202,Administracion,La Libertad,6.68
EST000203,Estudiante 203,Administracion,Sonsonate,7.87
EST000204,Estudiante 204,Administracion,San Salvador,7.26
EST000205,Estudiante 205,Contaduria,San Miguel,8.08
EST000206,Estudiante 206,Arquitectura,Sonsonate,6.02
EST000207,Estudiante 207,Ingeniería de Sistemas,Sonsonate,9.51
EST000208,Estudiante 208,Arquitectura,La Libertad,8.35
EST000209,Estudiante 209,Administracion,San Salvador,5.69
EST000210,Estudiante 210,Contaduria,Santa Ana,9.34
EST000211,Estudiante 211,Contaduria,Santa Ana,8.79
EST000212,Estudiante 212,Administracion,Santa Ana,6.51
EST000213,Estudiante 213,Contaduria,La Libertad,6.79
EST000214,Estudiante 214,Contaduria,Sonsonate,8.5
EST000215,Estudiante 215,Administracion,San Salvador,7.25
EST000216,Estudiante 216,Arquitectura,La Libertad,7.67
EST000217,Estudiante 217,Contaduria,San Salvador,5.15
EST000218,Estudiante 218,Administracion,Santa Ana,5.44
EST000219,Estudiante 219,Ingeniería de Sistemas,Santa Ana,6.13
EST000220,Estudiante 220,Contaduria,San Salvador,9.51
EST000221,Estudiante 221,Administracion,San Salvador,7.42
EST000222,Estudiante 222,Ingeniería de Sistemas,San Salvador,9.14
EST000223,Estudiante 223,Administracion,La Libertad,5.16
EST000224,Estudiante 224,Ingeniería de Sistemas,San Salvador,7.64
EST000225,Estudiante 225,Ingeniería Industrial,San Miguel,5.49
EST000226,Estudiante 226,Ingeniería Industrial,Santa Ana,9.17
EST000227,Estudiante 227,Arquitectura,San Miguel,8.46
EST000228,Estudiante 228,Administracion,La Libertad,5.73
EST000229,Estudiante 229,Ingeniería de Sistemas,San Salvador,9.85
EST000230,Estudiante 230,Arquitectura,Sonsonate,8.62
EST000231,Estudiante 231,Ingeniería de Sistemas,San Miguel,6.41
EST000232,Estudiante 232,Ingeniería de Sistemas,La Libertad,6.0
EST000233,Estudiante 233,Ingeniería de Sistemas,San Salvador,9.97
EST000234,Estudiante 234,Ingeniería de Sistemas,San Salvador,9.91
EST000235,Estudiante 235,Administracion,San Miguel,9.81
EST000236,Estudiante 236,Ingeniería de Sistemas,San Miguel,9.49
EST000237,Estudiante 237,Ingeniería de Sistemas,Santa Ana,8.81
EST000238,Estudiante 238,Contaduria,Sonsonate,7.57
EST000239,Estudiante 239,Administracion,San Miguel,7.74
EST000240,Estudiante 240,Ingeniería de Sistemas,San Miguel,5.1
EST000241,Estudiante 241,Arquitectura,San Miguel,9.25
EST000242,Estudiante 242,Contaduria,Sonsonate,7.65
EST000243,Estudiante 243,Ingeniería de Sistemas,La Libertad,7.96
EST000244,Estudiante 244,Administracion,Santa Ana,8.13
EST000245,Estudiante 245,Ingeniería de Sistemas,La Libertad,6.96
EST000246,Estudiante 246,Administracion,San Miguel,5.1
EST000247,Estudiante 247,Contaduria,Santa Ana,6.15
EST000248,Estudiante 248,Administracion,Santa Ana,5.34
EST000249,Estudiante 249,Administracion,San Salvador,6.82
EST000250,Estudiante 250,Ingeniería de Sistemas,Santa Ana,6.64
EST000251,Estudiante 251,Contaduria,Sonsonate,8.82
EST000252,Estudiante 252,Ingeniería de Sistemas,Santa Ana,6.71
EST000253,Estudiante 253,Contaduria,San Salvador,7.34
EST000254,Estudiante 254,Ingeniería Industrial,San Miguel,8.12
EST000255,Estudiante 255,Ingeniería de Sistemas,San Miguel,7.97
EST000256,Estudiante 256,Contaduria,Santa Ana,7.46
EST000257,Estudiante 257,Ingeniería Industrial,San Miguel,6.99
EST000258,Estudiante 258,Contaduria,San Miguel,6.48
EST000259,Estudiante 259,Administracion,La Libertad,5.96
EST000260,Estudiante 260,Contaduria,La Libertad,8.78
EST000261,Estudiante 261,Ingeniería Industrial,San Miguel,7.35
EST000262,Estudiante 262,Administracion,Sonsonate,8.09
EST000263,Estudiante 263,Contaduria,Santa Ana,8.65
EST000264,Estudiante 264,Administracion,San Miguel,9.2
EST000265,Estudiante 265,Arquitectura,La Libertad,6.55
EST000266,Estudiante 266,Arquitectura,Santa Ana,9.36
EST000267,Estudiante 267,Administracion,San Miguel,9.65
EST000268,Estudiante 268,Ingeniería Industrial,Santa Ana,5.94
EST000269,Estudiante 269,Administracion,San Miguel,5.02
EST000270,Estudiante 270,Arquitectura,Santa Ana,9.53
EST000271,Estudiante 271,Arquitectura,La Libertad,6.4
EST000272,Estudiante 272,Ingeniería de Sistemas,La Libertad,5.98
EST000273,Estudiante 273,Administracion,San Salvador,5.67
EST000274,Estudiante 274,Ingeniería de Sistemas,Santa Ana,9.1
EST000275,Estudiante 275,Ingeniería Industrial,La Libertad,7.59
EST000276,Estudiante 276,Contaduria,Sonsonate,8.46
EST000277,Estudiante 277,Arquitectura,Sonsonate,6.25
EST000278,Estudiante 278,Arquitectura,Sonsonate,6.25
EST000279,Estudiante 279,Administracion,San Salvador,9.74
EST000280,Estudiante 280,Ingeniería Industrial,Sonsonate,8.96
EST000281,Estudiante 281,Arquitectura,La Libertad,9.52
EST000282,Estudiante 282,Ingeniería Industrial,San Miguel,5.88
EST000283,Estudiante 283,Ingeniería de Sistemas,Sonsonate,5.72
EST000284,Estudiante 284,Administracion,San Miguel,5.71
EST000285,Estudiante 285,Ingeniería Industrial,San Miguel,8.59
EST000286,Estudiante 286,Arquitectura,Santa Ana,9.35
EST000287,Estudiante 287,Ingeniería Industrial,Sonsonate,8.67
EST000288,Estudiante 288,Ingeniería de Sistemas,San Salvador,9.57
EST000289,Estudiante 289,Ingeniería Industrial,Santa Ana,9.86
EST000290,Estudiante 290,Arquitectura,San Salvador,6.68
EST000291,Estudiante 291,Arquitectura,Sonsonate,7.08
EST000292,Estudiante 292,Administracion,Santa Ana,8.1
EST000293,Estudiante 293,Administracion,Sonsonate,5.3
EST000294,Estudiante 294,Ingeniería Industrial,San Salvador,5.07
EST000295,Estudiante 295,Contaduria,Santa Ana,6.98
EST000296,Estudiante 296,Ingeniería de Sistemas,Santa Ana,7.04
EST000297,Estudiante 297,Administracion,Santa Ana,5.84
EST000298,Estudiante 298,Ingeniería de Sistemas,Sonsonate,6.77
EST000299,Estudiante 299,Arquitectura,Sonsonate,8.67
EST000300,Estudiante 300,Ingeniería de Sistemas,Santa Ana,5.01
EST000301,Estudiante 301,Ingeniería de Sistemas,San Miguel,7.98
EST000302,Estudiante 302,Contaduria,Sonsonate,6.87
EST000303,Estudiante 303,Administracion,Sonsonate,9.59
EST000304,Estudiante 304,Ingeniería Industrial,Santa Ana,9.61
EST000305,Estudiante 305,Administracion,La Libertad,5.75
EST000306,Estudiante 306,Administracion,La Libertad,9.34
EST000307,Estudiante 307,Ingeniería Industrial,San Salvador,6.65
EST000308,Estudiante 308,Administracion,Sonsonate,8.41
EST000309,Estudiante 309,Ingeniería de Sistemas,Santa Ana,9.79
EST000310,Estudiante 310,Administracion,San Salvador,8.4
EST000311,Estudiante 311,Arquitectura,San Miguel,9.89
EST000312,Estudiante 312,Ingeniería Industrial,San Miguel,9.38
EST000313,Estudiante 313,Ingeniería de Sistemas,San Salvador,8.01
EST000314,Estudiante 314,Ingeniería Industrial,Santa Ana,5.01
EST000315,Estudiante 315,Contaduria,San Miguel,8.87
EST000316,Estudiante 316,Ingeniería Industrial,San Salvador,7.46
EST000317,Estudiante 317,Ingeniería de Sistemas,Sonsonate,8.83
EST000318,Estudiante 318,Contaduria,San Miguel,5.43
EST000319,Estudiante 319,Ingeniería Industrial,Santa Ana,8.01
EST000320,Estudiante 320,Administracion,Sonsonate,6.74
EST000321,Estudiante 321,Ingeniería de Sistemas,Sonsonate,8.04
EST000322,Estudiante 322,Ingeniería Industrial,San Miguel,6.16
EST000323,Estudiante 323,Ingeniería Industrial,San Salvador,9.56
EST000324,Estudiante 324,Ingeniería de Sistemas,San Salvador,7.61
EST000325,Estudiante 325,Ingeniería Industrial,La Libertad,7.96
EST000326,Estudiante 326,Arquitectura,San Miguel,6.04
EST000327,Estudiante 327,Arquitectura,La Libertad,5.58
EST000328,Estudiante 328,Ingeniería Industrial,Santa Ana,6.19
EST000329,Estudiante 329,Administracion,San Salvador,8.04
EST000330,Estudiante 330,Administracion,Santa Ana,6.2
EST000331,Estudiante 331,Ingeniería Industrial,San Salvador,9.38
EST000332,Estudiante 332,Ingeniería de Sistemas,San Salvador,5.65
EST000333,Estudiante 333,Arquitectura,La Libertad,5.7
EST000334,Estudiante 334,Contaduria,Santa Ana,5.08
EST000335,Estudiante 335,Arquitectura,La Libertad,7.6
EST000336,Estudiante 336,Ingeniería Industrial,San Salvador,5.33
EST000337,Estudiante 337,Contaduria,La Libertad,6.22
EST000338,Estudiante 338,Administracion,Santa Ana,8.91
EST000339,Estudiante 339,Contaduria,Sonsonate,9.61
EST000340,Estudiante 340,Administracion,Santa Ana,7.94
EST000341,Estudiante 341,Contaduria,Santa Ana,8.8
EST000342,Estudiante 342,Ingeniería de Sistemas,San Miguel,8.59
EST000343,Estudiante 343,Ingeniería de Sistemas,San Salvador,7.15
EST000344,Estudiante 344,Administracion,La Libertad,7.56
EST000345,Estudiante 345,Administracion,Santa Ana,8.71
EST000346,Estudiante 346,Ingeniería de Sistemas,San Miguel,7.41
EST000347,Estudiante 347,Ingeniería Industrial,Sonsonate,8.23
EST000348,Estudiante 348,Ingeniería Industrial,Sonsonate,8.23
EST000349,Estudiante 349,Contaduria,San Salvador,8.99
EST000350,Estudiante 350,Administracion,San Miguel,7.9
EST000351,Estudiante 351,Arquitectura,Santa Ana,9.53
EST000352,Estudiante 352,Ingeniería de Sistemas,San Salvador,5.26
EST000353,Estudiante 353,Ingeniería Industrial,San Salvador,6.59
EST000354,Estudiante 354,Contaduria,San Salvador,9.48
EST000355,Estudiante 355,Ingeniería de Sistemas,Santa Ana,9.49
EST000356,Estudiante 356,Arquitectura,La Libertad,5.91
EST000357,Estudiante 357,Contaduria,La Libertad,8.17
EST000358,Estudiante 358,Ingeniería de Sistemas,Santa Ana,9.65
EST000359,Estudiante 359,Contaduria,La Libertad,7.93
EST000360,Estudiante 360,Administracion,Sonsonate,7.7
EST000361,Estudiante 361,Contaduria,La Libertad,9.18
EST000362,Estudiante 362,Ingeniería Industrial,Santa Ana,7.02
EST000363,Estudiante 363,Administracion,San Salvador,8.34
EST000364,Estudiante 364,Administracion,La Libertad,8.28
EST000365,Estudiante 365,Administracion,Sonsonate,7.39
EST000366,Estudiante 366,Ingeniería Industrial,Sonsonate,7.35
EST000367,Estudiante 367,Administracion,Santa Ana,9.24
EST000368,Estudiante 368,Ingeniería de Sistemas,Sonsonate,8.2
EST000369,Estudiante 369,Administracion,San Miguel,8.2
EST000370,Estudiante 370,Contaduria,San Miguel,6.62
EST000371,Estudiante 371,Ingeniería de Sistemas,Santa Ana,7.98
EST000372,Estudiante 372,Ingeniería Industrial,Santa Ana,5.7
EST000373,Estudiante 373,Administracion,Sonsonate,9.45
EST000374,Estudiante 374,Arquitectura,Sonsonate,9.98
EST000375,Estudiante 375,Arquitectura,San Miguel,5.49
EST000376,Estudiante 376,Contaduria,Sonsonate,5.59
EST000377,Estudiante 377,Contaduria,Sonsonate,5.05
EST000378,Estudiante 378,Administracion,San Salvador,8.37
EST000379,Estudiante 379,Contaduria,San Salvador,9.27
EST000380,Estudiante 380,Ingeniería de Sistemas,San Miguel,9.26
EST000381,Estudiante 381,Ingeniería Industrial,Santa Ana,9.73
EST000382,Estudiante 382,Arquitectura,Santa Ana,9.9
EST000383,Estudiante 383,Contaduria,Santa Ana,9.3
EST000384,Estudiante 384,Ingeniería Industrial,San Miguel,7.17
EST000385,Estudiante 385,Ingeniería Industrial,San Miguel,7.01
EST000386,Estudiante 386,Contaduria,La Libertad,8.65
EST000387,Estudiante 387,Ingeniería Industrial,San Salvador,6.3
EST000388,Estudiante 388,Contaduria,Santa Ana,8.44
EST000389,Estudiante 389,Ingeniería Industrial,La Libertad,8.16
EST000390,Estudiante 390,Ingeniería Industrial,Santa Ana,5.65
EST000391,Estudiante 391,Administracion,Santa Ana,9.18
EST000392,Estudiante 392,Ingeniería de Sistemas,San Miguel,8.28
EST000393,Estudiante 393,Ingeniería Industrial,San Miguel,6.99
EST000394,Estudiante 394,Administracion,La Libertad,7.28
EST000395,Estudiante 395,Arquitectura,San Miguel,9.98
EST000396,Estudiante 396,Contaduria,Santa Ana,8.74
EST000397,Estudiante 397,Ingeniería Industrial,Santa Ana,8.82
EST000398,Estudiante 398,Administracion,San Miguel,7.9
EST000399,Estudiante 399,Ingeniería Industrial,San Salvador,5.19
EST000400,Estudiante 400,Contaduria,La Libertad,7.36
EST000401,Estudiante 401,Ingeniería Industrial,San Salvador,8.35
EST000402,Estudiante 402,Administracion,San Miguel,8.35
EST000403,Estudiante 403,Arquitectura,San Salvador,5.85
EST000404,Estudiante 404,Contaduria,La Libertad,7.63
EST000405,Estudiante 405,Ingeniería de Sistemas,San Miguel,9.57
EST000406,Estudiante 406,Administracion,Sonsonate,8.92
EST000407,Estudiante 407,Ingeniería Industrial,Sonsonate,9.34
EST000408,Estudiante 408,Ingeniería de Sistemas,Santa Ana,8.91
EST000409,Estudiante 409,Administracion,Sonsonate,5.72
EST000410,Estudiante 410,Ingeniería de Sistemas,San Salvador,8.03
EST000411,Estudiante 411,Administracion,Sonsonate,6.62
EST000412,Estudiante 412,Arquitectura,La Libertad,5.96
EST000413,Estudiante 413,Contaduria,La Libertad,7.64
EST000414,Estudiante 414,Contaduria,Sonsonate,9.47
EST000415,Estudiante 415,Ingeniería de Sistemas,Santa Ana,5.9
EST000416,Estudiante 416,Administracion,La Libertad,6.1
EST000417,Estudiante 417,Arquitectura,San Miguel,9.44
EST000418,Estudiante 418,Ingeniería Industrial,La Libertad,5.76
EST000419,Estudiante 419,Contaduria,San Salvador,9.62
EST000420,Estudiante 420,Contaduria,Sonsonate,5.64
EST000421,Estudiante 421,Administracion,San Miguel,8.73
EST000422,Estudiante 422,Ingeniería de Sistemas,San Salvador,7.38
EST000423,Estudiante 423,Ingeniería Industrial,La Libertad,6.3
EST000424,Estudiante 424,Ingeniería de Sistemas,Santa Ana,9.79
EST000425,Estudiante 425,Arquitectura,San Salvador,8.92
EST000426,Estudiante 426,Administracion,Sonsonate,5.37
EST000427,Estudiante 427,Contaduria,Santa Ana,9.86
EST000428,Estudiante 428,Arquitectura,San Miguel,8.28
EST000429,Estudiante 429,Administracion,La Libertad,5.31
EST000430,Estudiante 430,Ingeniería de Sistemas,Sonsonate,7.52
EST000431,Estudiante 431,Arquitectura,La Libertad,7.58
EST000432,Estudiante 432,Administracion,Santa Ana,6.68
EST000433,Estudiante 433,Administracion,San Salvador,7.44
EST000434,Estudiante 434,Administracion,Sonsonate,8.94
EST000435,Estudiante 435,Administracion,Santa Ana,9.32
EST000436,Estudiante 436,Ingeniería de Sistemas,San Miguel,9.25
EST000437,Estudiante 437,Arquitectura,San Miguel,7.61
EST000438,Estudiante 438,Ingeniería de Sistemas,Santa Ana,7.87
